endTime,startTime,minutesAsleep,minutesAwake,deep
18059,79243,429,7,78
25227,79259,499,4,67
21603,75634,503,5,58
25237,90021,373,2,75
25201,79245,486,10,75
25210,79218,532,0,63
21616,79242,450,4,72
25210,79221,526,3,71
25203,75622,559,22,70
25221,100801,199,1,25
21621,75646,510,5,38
25227,82827,473,7,84
25224,79251,512,1,82
21649,82840,415,14,52
25234,82841,463,9,27
21653,79236,496,1,63
21624,79234,458,12,52
21603,82846,370,7,80
25205,86428,388,9,71
25201,86400,409,12,74
25232,82851,455,6,67
21636,82842,410,4,31
25206,82815,465,6,41
25252,79251,532,6,86
21633,82856,389,8,53
18012,79259,361,12,50
25209,79258,489,1,56
25207,75630,575,2,83
14455,79204,407,3,75
14444,79216,387,1,41
18025,79229,412,4,58
10836,75631,356,9,60
